Tele EF EB theta(degree) phi(degree)
   0 26 10       35.1409     178.723
   0 26 11       35.1518     178.123
   0 26 12       35.1658     177.523
   0 26 13       35.1826     176.922
   0 26 14       35.2025     176.323
   0 26 15       35.2253     175.723
   0 26 16       35.2511     175.125
   0 26 17       35.2798     174.527
   0 26 18       35.3114     173.929
   0 26 19       35.3460     173.333
   0 26 20       35.3835     172.738
   0 26 21       35.4239     172.145
   0 26 22       35.4672     171.552
   0 26 23       35.5134     170.961
   0 26 24       35.5624     170.372
   0 26 25       35.6142     169.784
   0 26 26       35.6689     169.198
   0 26 27       35.7264     168.615
   0 26 28       35.7866     168.033
   0 26 29       35.8496     167.453
   0 26 30       35.9153     166.876
   0 26 31       35.9837     166.301
   0 27  0       35.5365     184.664
   0 27  1       35.5185     184.076
   0 27  2       35.5033     183.486
