Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0 15  3       31.3512         0.1307       183.197        0.353
   0 15  4       31.3383         0.1300       182.535        0.356
   0 15  5       31.3287         0.1293       181.872        0.359
   0 15  6       31.3226         0.1286       181.208        0.362
   0 15  7       31.3199         0.1278       180.543        0.365
   0 15  8       31.3206         0.1270       179.877        0.368
   0 15  9       31.3248         0.1262       179.212        0.370
   0 15 10       31.3323         0.1253       178.546        0.373
   0 15 11       31.3434         0.1245       177.880        0.375
   0 15 12       31.3579         0.1236       177.214        0.378
   0 15 13       31.3758         0.1226       176.548        0.380
   0 15 14       31.3971         0.1217       175.883        0.382
   0 15 15       31.4219         0.1207       175.219        0.384
   0 15 16       31.4502         0.1197       174.555        0.386
   0 15 17       31.4818         0.1200       173.893        0.388
   0 15 18       31.5169         0.1207       173.232        0.389
   0 15 19       31.5553         0.1215       172.572        0.391
   0 15 20       31.5971         0.1222       171.914        0.392
   0 15 21       31.6423         0.1228       171.257        0.394
   0 15 22       31.6908         0.1235       170.603        0.395
   0 15 23       31.7427         0.1241       169.950        0.396
   0 15 24       31.7978         0.1247       169.300        0.397
   0 15 25       31.8562         0.1253       168.652        0.398
   0 15 26       31.9178         0.1258       168.006        0.399
   0 15 27       31.9827         0.1263       167.364        0.399
   0 15 28       32.0507         0.1268       166.724        0.400
   0 15 29       32.1219         0.1273       166.087        0.400
   0 15 30       32.1962         0.1277       165.453        0.401
   0 15 31       32.2735         0.1281       164.822        0.401
   0 16  0       31.7546         0.1320       185.129        0.341
   0 16  1       31.7320         0.1314       184.477        0.343
   0 16  2       31.7127         0.1308       183.824        0.347
   0 16  3       31.6968         0.1302       183.169        0.350
   0 16  4       31.6842         0.1295       182.514        0.353
   0 16  5       31.6749         0.1288       181.857        0.356
   0 16  6       31.6689         0.1281       181.199        0.358
   0 16  7       31.6664         0.1273       180.541        0.361
   0 16  8       31.6672         0.1266       179.882        0.364
   0 16  9       31.6715         0.1257       179.223        0.367
   0 16 10       31.6791         0.1249       178.563        0.369
   0 16 11       31.6901         0.1240       177.904        0.371
   0 16 12       31.7045         0.1232       177.244        0.374
   0 16 13       31.7223         0.1222       176.585        0.376
   0 16 14       31.7435         0.1213       175.927        0.378
   0 16 15       31.7681         0.1204       175.269        0.380
   0 16 16       31.7961         0.1194       174.612        0.382
   0 16 17       31.8275         0.1194       173.956        0.384
   0 16 18       31.8622         0.1202       173.301        0.385
   0 16 19       31.9002         0.1209       172.648        0.387
   0 16 20       31.9416         0.1216       171.996        0.388
   0 16 21       31.9863         0.1223       171.346        0.390
   0 16 22       32.0343         0.1229       170.697        0.391
   0 16 23       32.0856         0.1235       170.051        0.392
   0 16 24       32.1401         0.1241       169.406        0.393
   0 16 25       32.1979         0.1247       168.765        0.394
   0 16 26       32.2588         0.1252       168.125        0.395
   0 16 27       32.3230         0.1257       167.488        0.395
   0 16 28       32.3902         0.1262       166.854        0.396
   0 16 29       32.4606         0.1266       166.223        0.396
   0 16 30       32.5340         0.1271       165.594        0.397
   0 16 31       32.6105         0.1275       164.969        0.397
   0 17  0       32.0990         0.1315       185.082        0.338
   0 17  1       32.0768         0.1309       184.437        0.340
   0 17  2       32.0579         0.1303       183.790        0.343
   0 17  3       32.0423         0.1297       183.142        0.346
   0 17  4       32.0300         0.1290       182.493        0.349
   0 17  5       32.0210         0.1283       181.842        0.352
   0 17  6       32.0153         0.1276       181.191        0.355
