      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         7         3         1         1          0.00103728             3.32738
         8         0         1         1           0.0116965             7.80967
         8         0         1         1          0.00681426             7.23492
         8         0         1         1          0.00492476             6.95684
         8         0         1         1          0.00391076             6.82211
         8         0         1         1          0.00327663             6.75792
         8         0         1         1          0.00284145             6.73261
         8         0         1         1          0.00252366             6.73172
         8         0         1         1          0.00228107             6.74777
         8         0         1         1          0.00208959             6.77639
         8         0         1         1           0.0019345             6.81484
         8         0         1         1          0.00180623             6.86114
         8         0         1         1          0.00169834             6.91232
         8         0         1         1          0.00160628             6.97027
         8         0         1         1           0.0015268             7.03518
         8         0         1         1          0.00145746              7.1015
         8         0         1         1          0.00139642             7.17213
         8         0         1         1          0.00134229             7.24723
         8         0         1         1          0.00129394             7.32548
         8         0         1         1          0.00125048             7.40813
         8         0         1         1          0.00121122             7.49336
         8         1         1         1           0.0106266             7.73131
         8         1         1         1          0.00581433             7.52683
         8         1         1         1          0.00411013             7.12393
         8         1         1         1          0.00323726             6.79677
         8         1         1         1          0.00270441             6.51847
         8         1         1         1          0.00234416             6.27084
         8         1         1         1           0.0020838             6.04366
         8         1         1         1          0.00188658             5.83263
         8         1         1         1          0.00173184             5.63347
         8         1         1         1           0.0016071             5.44685
         8         1         1         1          0.00150437             5.26872
         8         1         1         1          0.00141826             5.09874
         8         1         1         1          0.00134502             4.93798
         8         1         1         1          0.00128195             4.78317
         8         1         1         1          0.00122706             4.63535
         8         1         1         1          0.00117887             4.49385
         8         1         1         1          0.00113622             4.35746
         8         1         1         1           0.0010982              4.2266
         8         1         1         1          0.00106411             4.10025
         8         1         1         1          0.00103335             3.97926
         8         2         1         1           0.0111366             7.45368
         8         2         1         1          0.00618224             6.93045
         8         2         1         1          0.00439182              6.6352
         8         2         1         1          0.00346383              6.4009
         8         2         1         1           0.0028939             6.18957
         8         2         1         1          0.00250717             5.99185
         8         2         1         1          0.00222697              5.8043
         8         2         1         1          0.00201429             5.62527
         8         2         1         1          0.00184717              5.4541
         8         2         1         1           0.0017123             5.28947
