      *tel    numcsi         Z         A               AZ2/E               Leff
         7         2         1         1           0.0140772          0.00778618
         7         2         1         1           0.0124809          0.00774303
         7         2         1         1           0.0112097           0.0077058
         7         2         1         1           0.0101735           0.0076684
         7         2         1         1           0.0093127          0.00762743
         7         2         1         1          0.00858619           0.0075822
         7         2         1         1          0.00796483          0.00753469
         7         2         1         1          0.00742733          0.00748958
         7         2         1         1           0.0069578          0.00745423
         7         2         1         1          0.00654409          0.00743871
         7         2         1         1          0.00617683          0.00745574
         7         2         1         1           0.0058486          0.00752077
         7         2         1         1          0.00555349          0.00765192
         7         3         1         1            0.142368          0.00963047
         7         3         1         1           0.0622626          0.00895464
         7         3         1         1           0.0398438          0.00845246
         7         3         1         1           0.0292955          0.00808991
         7         3         1         1           0.0231632          0.00783652
         7         3         1         1           0.0191538          0.00766537
         7         3         1         1           0.0163276          0.00755308
         7         3         1         1           0.0142282          0.00747983
         7         3         1         1           0.0126072          0.00742933
         7         3         1         1           0.0113177          0.00738885
         7         3         1         1           0.0102676          0.00734919
         7         3         1         1          0.00939578          0.00730472
         7         3         1         1          0.00866043          0.00725335
         7         3         1         1          0.00803183          0.00719652
         7         3         1         1           0.0074883          0.00713924
         7         3         1         1          0.00701367          0.00709005
         7         3         1         1          0.00659563          0.00706105
         7         3         1         1          0.00622461          0.00706788
         7         3         1         1          0.00589312          0.00712972
         7         3         1         1          0.00559514          0.00726932
         8         0         1         1             0.14544          0.00814278
         8         0         1         1            0.065051          0.00799269
         8         0         1         1           0.0418947          0.00788166
         8         0         1         1           0.0308964          0.00780224
         8         0         1         1            0.024472           0.0077479
         8         0         1         1           0.0202594          0.00771302
         8         0         1         1           0.0172841          0.00769289
         8         0         1         1           0.0150708          0.00768371
         8         0         1         1             0.01336          0.00768259
         8         0         1         1            0.011998          0.00768755
         8         0         1         1            0.010888          0.00769752
         8         0         1         1          0.00996603          0.00771233
         8         0         1         1          0.00918799          0.00773274
         8         0         1         1          0.00852264          0.00776041
         8         0         1         1          0.00794714           0.0077979
         8         0         1         1          0.00744445          0.00784869
         8         0         1         1          0.00700157          0.00791717
         8         0         1         1          0.00660843          0.00800864
         8         0         1         1          0.00625709           0.0081293
         8         0         1         1          0.00594122          0.00828627
         8         1         1         1            0.130749          0.00920927
         8         1         1         1           0.0553809          0.00881631
