 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    1      1      2      3     9.78154  -0.00419745   0.0369808   0.0411782
    1      1      2      3     20.9529  0.00070891    0.119568    0.118859
    1      1      2      3     31.3498  -0.000467999    0.195048    0.195516
    1      1      2      3     42.4825  -0.00319836    0.276396    0.279594
    1      1      2      3     53.5997  -0.00644025    0.358271    0.364711
    1      1      2      3     64.7136  -0.0113597    0.439175    0.450535
    1      1      2      3     75.8331  -0.0160007    0.520907    0.536908
    1      1      2      3     86.9667  -0.0209449    0.602817    0.623762
    1      1      2      3     97.3244  -0.0267138    0.678106     0.70482
    1      1      2      3     108.507  -0.0321304    0.760423    0.792553
    1      1      2      3     119.727  -0.0393319    0.841435    0.880767
    1      1      2      3     130.991  -0.0454651    0.924016    0.969481
    1      1      2      3     141.496   -0.051635      1.0007     1.05234
    1      1      2      3     152.865  -0.0585422     1.08357     1.14211
    1      1      2      3     163.479  -0.0628458     1.16317     1.22602
    1      1      2      3     174.978   -0.068289     1.24871       1.317
    1      1      2      3     185.723  -0.0723057     1.32978     1.40209
    1      1      2      3     196.538  -0.0747464     1.41304     1.48779
    1      1      2      3     207.428  -0.0772758     1.49686     1.57414
    1      1      2      3     218.397   -0.079921     1.58124     1.66116
    1      1      2      3     229.448  -0.0822021     1.66668     1.74888
    1      1      2      3     240.586  -0.0842255     1.75311     1.83734
    1      1      2      4     8.79791  0.00270656   0.0333099   0.0306033
    1      1      2      4     22.6418  0.00924514    0.132111    0.122866
    1      1      2      4     36.4732   0.0070286    0.230378    0.223349
    1      1      2      4     50.1417  0.00171528    0.327478    0.325763
    1      1      2      4     64.6446  -0.00395292    0.432266    0.436219
    1      1      2      4       78.09  -0.00957725    0.530068    0.539645
    1      1      2      4     92.4238   -0.014886    0.635756    0.650642
    1      1      2      4     106.706  -0.0214654    0.740322    0.761787
    1      1      2      4     120.956  -0.0281297    0.844964    0.873094
    1      1      2      4     134.243   -0.033316    0.943853    0.977169
    1      1      2      4     148.481  -0.0383045     1.05064     1.08894
    1      1      2      4     162.734  -0.0415825     1.15947     1.20105
    1      1      2      4     176.064  -0.0434934     1.26257     1.30606
    1      1      2      4     190.386   -0.043238      1.3758     1.41904
    1      1      2      4     204.759  -0.0409785     1.49157     1.53255
    1      1      2      4     218.231  -0.0377389     1.60131     1.63905
    1      1      2      4     232.733  -0.0334717     1.72032     1.75379
    1      1      2      4     246.339  -0.0288886     1.83264     1.86153
    1      1      2      4     260.022  -0.0246678     1.94528     1.96995
    1      1      2      4     274.774  -0.0202206     2.06669     2.08691
    1      1      2      4     288.633  -0.0166554      2.1802     2.19686
    1      1      2      6     7.56424   0.0127463   0.0308221   0.0180758
    1      1      2      6     19.8169     0.02293     0.11388     0.09095
    1      1      2      6     31.9447   0.0215087    0.195048    0.173539
    1      1      2      6     43.1522   0.0170049    0.270695     0.25369
    1      1      2      6     55.9985   0.0102249    0.358271    0.348046
    1      1      2      6     67.7665  0.00321168    0.439175    0.435963
    1      1      2      6     79.3795  -0.00277088    0.520907    0.523678
    1      1      2      6     91.6842  -0.00863491    0.608743    0.617378
    1      1      2      6     103.868  -0.0153136    0.695433    0.710747
    1      1      2      6     115.948  -0.0199739    0.783801    0.803775
    1      1      2      6      127.94  -0.0254289    0.871059    0.896488
    1      1      2      6     139.857  -0.0298476    0.959069    0.988917
    1      1      2      6     151.711  -0.0328024      1.0483      1.0811
    1      1      2      6     163.512  -0.0346839      1.1384     1.17308
    1      1      2      6      175.27  -0.0349485     1.22996     1.26491
    1      1      2      6     187.773   -0.032941     1.32978     1.36272
    1      1      2      6     199.466  -0.0285361      1.4258     1.45434
    1      1      2      6     211.916  -0.0225031     1.52951     1.55201
    1      1      2      6     223.574  -0.0158256     1.62776     1.64359
    1      1      2      6     235.225  -0.00826773     1.72693      1.7352
    1      1      2      6      247.65  0.00100993       1.834     1.83299
    1      2      2      3     9.59202  -0.00395036   0.0318352   0.0357856
    1      2      2      3     21.7908  0.00516758    0.126216    0.121048
    1      2      2      3     33.2064  0.00415967    0.210201    0.206041
    1      2      2      3     45.4001  0.00183887    0.300945    0.299106
    1      2      2      3      57.606  -0.00186429    0.391696     0.39356
    1      2      2      3     69.8394  -0.00618451    0.482858    0.489043
    1      2      2      3     81.2907  -0.0100067    0.568924    0.578931
    1      2      2      3     93.6051  -0.0161309    0.659866    0.675997
    1      2      2      3     105.975  -0.0231786    0.750643    0.773822
    1      2      2      3     117.578  -0.0289935    0.836818    0.865812
    1      2      2      3     129.246  -0.0361109    0.922388    0.958499
    1      2      2      3     141.826  -0.0439201     1.01468      1.0586
    1      2      2      3     153.649   -0.050212      1.1026     1.15281
    1      2      2      3     165.558   -0.056101     1.19172     1.24782
    1      2      2      3     177.559  -0.0612719     1.28239     1.34366
    1      2      2      3     189.658  -0.0658322     1.37454     1.44037
    1      2      2      3     201.863  -0.0695171     1.46849     1.53801
    1      2      2      3     213.294  -0.0726929     1.55682     1.62951
    1      2      2      3     225.717  -0.0760208       1.653     1.72902
    1      2      2      3     237.362  -0.0788889     1.74346     1.82235
    1      2      2      3     249.116  -0.0821565     1.83444      1.9166
    1      2      2      4     9.27107  0.00262694   0.0318352   0.0292083
    1      2      2      4     22.7393   0.0125132    0.131967    0.119454
    1      2      2      4     35.3661   0.0105742    0.222089    0.211515
    1      2      2      4     48.7138  0.00746805    0.319433    0.311965
    1      2      2      4     61.9519  0.00288144    0.416207    0.413326
    1      2      2      4     74.3057  -0.00182857     0.50707    0.508899
    1      2      2      4     87.4413  -0.00583842    0.605401    0.611239
    1      2      2      4      100.55  -0.0113503    0.702563    0.713913
    1      2      2      4     113.649  -0.0168235      0.8001    0.816923
    1      2      2      4     126.749  -0.0227037    0.897562    0.920266
    1      2      2      4     139.864  -0.0281205    0.995868     1.02399
